Crimes,Category,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019
Total,total,8804,9652,9535,9691,8336,8208,7713,7713,6727,7173,7615,8828,8819,8812
Against persons,category,5190,5449,5408,5542,4793,4824,4623,4623,4048,4482,4720,5084,5566,5512
Murder,against persons,6,3,9,7,8,7,4,4,4,18,9,15,24,51
Rape,against persons,3,6,2,11,9,4,7,7,9,13,24,23,22,30
Aggravated assault,against persons,1062,1178,1116,1025,914,888,895,895,770,882,873,990,1026,1158
Simple assault,against persons,1566,1737,1684,1778,1691,1681,1595,1595,1514,1696,1687,1745,1895,2023
Intimidation,against persons,2539,2508,2565,2704,2158,2231,2106,2106,1745,1853,2109,2283,2560,2206
Other,against persons,14,17,32,17,13,13,16,16,6,20,18,28,39,44
Against property,category,3530,4165,4108,4131,3517,3370,3070,3070,2624,2626,2813,3506,2964,3064
Robbery,against property,154,200,236,180,142,168,157,157,138,148,163,171,169,149
Burglary,against property,165,177,193,186,157,163,147,147,208,173,138,185,166,129
Larceny-theft,against property,232,283,230,242,174,195,165,165,256,274,253,379,357,297
Motor vehicle theft,against property,19,44,27,26,11,16,6,6,22,24,21,44,43,19
Arson,against property,48,51,47,81,61,45,52,52,39,36,51,59,53,78
Vandalism,against property,2869,3348,3328,3382,2943,2747,2510,2510,1907,1897,2122,2585,2080,2316
Other,against property,43,62,47,34,29,36,33,33,54,74,65,83,96,76
Against society,category,84,38,19,18,26,14,20,20,55,65,82,238,289,236
